TIME,I_Atlas200DK-B,Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1692237183,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237184,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237185,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237186,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237187,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237188,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237189,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237190,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237191,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237192,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237193,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237194,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237195,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237196,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237197,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237198,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237199,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237200,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237201,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237202,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237203,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237204,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237205,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237206,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237207,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237208,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
